cycle,time_s,status,solve_time_s,cost,e_p,e_v,e_R,e_omega,e_q,e_dq,e_q_shoulder_lift,abs_e_q_shoulder_lift,e_dq_shoulder_lift,abs_e_dq_shoulder_lift,e_q_elbow,abs_e_q_elbow,e_dq_elbow,abs_e_dq_elbow,e_q_wrist_1,abs_e_q_wrist_1,e_dq_wrist_1,abs_e_dq_wrist_1,e_q_wrist_roll,abs_e_q_wrist_roll,e_dq_wrist_roll,abs_e_dq_wrist_roll,J_p,J_v,J_R,J_omega,J_q,J_dq,J_u,J_nu,cmd_00,cmd_01,cmd_02,cmd_03,cmd_04,cmd_05,cmd_06,cmd_07,cmd_rate_00,cmd_rate_01,cmd_rate_02,cmd_rate_03,cmd_rate_04,cmd_rate_05,cmd_rate_06,cmd_rate_07
0,0.0,0,0.003127601001324365,226.66219888164434,0.04123105625617661,0.0,0.08726646259971647,0.0,0.1,0.0,0.04999999999999999,0.04999999999999999,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.68,0.0,0.9999991428491917,0.0,4.0,0.0,0.0,1749.3849110599988,8.75336411746472,0.04786665747869703,0.10630290755337893,-0.008928586104743952,0.11999999999997188,0.11999999999995643,0.11999999999997964,-0.03279992375823666,40.056425349847444,2.393332873934852,5.315145377668947,-0.4464293052371977,5.999999999998595,5.999999999997823,5.999999999998983,-1.6399961879118332
1,0.02,0,0.0027653580000333022,204.30711634201992,0.042623285795085425,0.012651254998817169,0.07691517049279134,0.42336979449246137,0.08174502628916425,0.7224506369664895,0.036919919445432964,0.036919919445432964,-0.4087525173302203,0.4087525173302203,0.03747267324869802,0.03747267324869802,-0.39147896097818685,0.39147896097818685,0.035699046352553575,0.035699046352553575,-0.4469048014827007,0.4469048014827007,0.05138624057345933,0.05138624057345933,0.043320017920603957,0.043320017920603957,0.7266977967878122,0.016005425304509636,0.7768352033474323,17.924198288858893,2.672899729206461,52.193492285328624,14.94134734930592,1676.2418833067075,9.535001784504427,0.07072720216253667,0.22900708789596225,-0.01839460697579054,0.23999999999997118,0.23999999999995525,0.23999999999997917,-0.058699438415636115,39.081883351985375,1.1430272341919823,6.135209017129168,-0.4733010435523292,5.9999999999999645,5.999999999999939,5.999999999999975,-1.2949757328699723
2,0.04,0,0.002619782000692794,184.9630400810079,0.04469969528592742,0.01925104371976568,0.07150278283801542,0.8276649078307244,0.057039601463010334,1.4216683381194073,0.010759758336298858,0.010759758336298858,-0.8041717013271104,0.8041717013271104,0.012418019746094057,0.012418019746094057,-0.7696245886230452,0.7696245886230452,0.007097139057660733,0.007097139057660733,-0.8804762696320703,0.8804762696320703,0.054158721720377986,0.054158721720377986,0.08299559986807051,0.08299559986807051,0.7992251034619047,0.037060268430032954,0.6713527512444839,68.50291996544414,1.3014064540236199,202.11408636111972,60.86127345231601,1563.8345100494835,10.29219676985892,0.08052102557589312,0.3209896597773695,-0.02620781344585242,0.3599999999999711,0.35999999999995524,0.35999999999997917,-0.07798154077733747,37.859749267724695,0.48969117066782153,4.599128594070358,-0.390660323503094,5.999999999999998,5.9999999999999964,5.999999999999999,-0.964105118085068
3,0.06,0,0.0027353630030120257,165.1306400297155,0.04571136452057137,0.028701385509726476,0.07322035968012994,1.0212235622185515,0.06015173416299119,1.6887167953583164,-0.010579644361038198,0.010579644361038198,-0.9574424097054696,0.9574424097054696,-0.007889973303819457,0.007889973303819457,-0.9087786519135124,0.9087786519135124,-0.016228330602339414,0.016228330602339414,-1.048703321110511,1.048703321110511,0.05639762277911459,0.05639762277911459,0.09701109802846891,0.09701109802846891,0.8358115385330201,0.08237695301779367,0.7039934196890666,104.28975640303476,1.4472924491260641,285.1764414925261,110.41533479367219,1437.4249148863178,11.019294472938327,0.07755117239468773,0.38317028585460533,-0.03243209431875108,0.4799999988302517,0.4757809967509046,0.47999999988829567,-0.09138546820217017,36.354885153970386,-0.14849265906026876,3.109031303861794,-0.31121404364493305,5.99999994151403,5.789049837547471,5.999999994415823,-0.6701963712416344
4,0.08,0,0.0025208970000676345,145.37335127061215,0.047174278153745294,0.04048652939020109,0.08172942102147795,1.0125809023409829,0.07667019940206427,1.526006756282376,-0.027447500426209567,0.027447500426209567,-0.8698815148932815,0.8698815148932815,-0.023302325924906497,0.023302325924906497,-0.810258023277572,0.810258023277572,-0.03455886258570971,0.03455886258570971,-0.9529028283460064,0.9529028283460064,0.058203443368730214,0.058203443368730214,0.0863765344924849,0.0863765344924849,0.890165007730772,0.16391590620636162,0.8771254828005992,102.53200837856788,2.3513277905409176,232.86966202194583,162.56853078303826,1285.49530716585,11.70974187921676,0.06395269696634888,0.4184696338172665,-0.03713856583638374,0.5980090771368292,0.5631323913999459,0.5999999998266414,-0.09981042873100009,34.522370313921584,-0.679923771416942,1.7649673981330516,-0.23532357588163283,5.9004539153288675,4.367569732452061,5.999999996917294,-0.4212480264414964
5,0.1,0,0.002490902999852551,127.74146339684441,0.04821528291441751,0.04835522335212364,0.09381396865274888,1.0033348641441941,0.09758822373584593,1.3474964195867605,-0.04318622735757481,0.04318622735757481,-0.7729561940565123,0.7729561940565123,-0.037497871541597436,0.037497871541597436,-0.7028417466258647,0.7028417466258647,-0.05169434865165534,0.05169434865165534,-0.847737909439361,0.847737909439361,0.059833227606977187,0.059833227606977187,0.07509486645634156,0.07509486645634156,0.9298854026069282,0.2338227625433763,1.1556861294019354,100.66808496072484,3.8093845647670084,181.57466007991383,250.6466801617586,1110.345438536832,12.356621861038278,0.04173144999523599,0.4299441783477798,-0.040423298618938674,0.6877172805210948,0.6265562777206821,0.7138428448943607,-0.1040390917783183,32.34399909107589,-1.1110623485556448,0.5737272265256675,-0.16423663912774678,4.4854101692132895,3.171194316036821,5.692142253385958,-0.21143315236591026
6,0.12,0,0.00247490399851813,111.67019506334464,0.048118052642967875,0.07553627893717738,0.10283838290926736,0.8191212153590931,0.11878121199524258,1.193885989991596,-0.05749515819764073,0.05749515819764073,-0.6838253500370713,0.6838253500370713,-0.05030245987023627,0.05030245987023627,-0.6143448296271558,0.6143448296271558,-0.06754743232948879,0.06754743232948879,-0.7599020558667355,0.7599020558667355,0.06091215004893055,0.06091215004893055,0.053627824352471404,0.053627824352471404,0.9261387960605709,0.5705729435675065,1.3887221475121243,67.09595654513576,5.643590529223503,142.53637570982127,270.5260538995859,942.0065507293568,12.958685640773806,0.013561594872106057,0.4225828372026588,-0.04244030582157855,0.7534782525955568,0.6699447260696026,0.7990604069945627,-0.1050040967191343,30.103188986776452,-1.4084927561564973,-0.3680670572560478,-0.10085036013199389,3.2880486037230905,2.169422417446016,4.260878105010101,-0.048250247040799346
7,0.14,0,0.002480303002812434,98.04434539722368,0.047433687075339875,0.1021284319476234,0.11172648563433524,0.6424563791182385,0.13753693391119212,1.0331905546878368,-0.06959014976691873,0.06959014976691873,-0.5906366291400654,0.5906366291400654,-0.060867517382446536,0.060867517382446536,-0.5242857264403101,0.5242857264403101,-0.08123067099426208,0.08123067099426208,-0.6653512778538435,0.6653512778538435,0.061403116066116474,0.061403116066116474,0.0326074948966436,0.0326074948966436,0.8999818678245058,1.043021661208034,1.6391441961908921,41.27501990697177,7.566563275876651,106.74827222961598,303.9525355740058,790.5788586865847,13.513881907116792,-0.018340114582258617,0.40069829869169254,-0.04331718733417836,0.7990509523192378,0.6965820881761573,0.859906238912881,-0.1033938115354312,27.759813317149327,-1.5950854727182335,-1.0942269255483157,-0.04384407562998999,2.2786349861840587,1.3318681053277293,3.0422915959159127,0.08051425918515367
8,0.16,0,0.0024563080005464144,86.33648875673072,0.04607948994461357,0.13548140637053838,0.11728276711790141,0.47247529674946487,0.1552361729169383,0.8786400138177097,-0.08065700147226215,0.08065700147226215,-0.500991730653373,0.500991730653373,-0.07053932155362995,0.07053932155362995,-0.4398498335783688,0.4398498335783688,-0.09382072391757376,0.09382072391757376,-0.5721709273894847,0.5721709273894847,0.06176239449484669,0.06176239449484669,0.012965857081646312,0.012965857081646312,0.849327757422297,1.8355211472138953,1.80623100046501,22.323290603849482,9.639307752759027,77.2008273881585,310.4156650667985,657.8184290854169,14.02208394004068,-0.052112284598189826,0.36817041345830065,-0.04321330543993166,0.8279630766749172,0.7095933869637429,0.9004252487821113,-0.09986722710800791,25.410101646194402,-1.68860850079656,-1.6263942616695926,0.0051940947123346355,1.4456062177839706,0.6505649393792845,2.0259504934615147,0.1763292213711659
9,0.18,0,0.0024373110027227085,76.35232564199944,0.043355541835176516,0.17621999518368514,0.11928062388662583,0.31331890241948596,0.1694688108588282,0.7344365401207922,-0.08949044246670079,0.08949044246670079,-0.4172389290815345,0.4172389290815345,-0.07803561726844806,0.07803561726844806,-0.3628053217538571,0.3628053217538571,-0.10411530229316251,0.10411530229316251,-0.4833787783525673,0.4833787783525673,0.06149459185127652,0.06149459185127652,-0.005095357588448465,0.005095357588448465,0.7518812031286962,3.105348670253801,1.86829171480962,9.816873461335135,11.487871141562112,53.93970314645998,287.4278516616378,544.405950719185,14.484918377405844,-0.08620471131013295,0.3285046667700995,-0.04228037827675582,0.8431135377332752,0.7114508956334004,0.9239464226438975,-0.09497886588565568,23.14172186825805,-1.7046213355971565,-1.983287334410056,0.04664635815879224,0.7575230529178985,0.09287543348287167,1.1760586930893107,0.24441806111761094
